SSRQ_ZH_NF_II_3	SSRQ ZH NF II/3, Nr. 13	/suche/detail/SSRQ_ZH_NF_II_3_013
SSRQ_ZH_NF_II_3	Weibel 1996	http://permalink.snl.ch/bib/chbsg000137961
SSRQ_ZH_NF_II_3	Eugster 1995b	http://permalink.snl.ch/bib/chbsg000138198
SSRQ_ZH_NF_II_3	Largiadèr 1922	http://permalink.snl.ch/bib/chbsg000133824
SSRQ_ZH_NF_II_3	SSRQ ZH NF II/3, Nr. 43	/suche/detail/SSRQ_ZH_NF_II_3_043
SSRQ_ZH_NF_II_3	SSRQ ZH NF II/3, Nr. 44	/suche/detail/SSRQ_ZH_NF_II_3_044
SSRQ_ZH_NF_II_3	SSRQ ZH NF II/3, Nr. 39	/suche/detail/SSRQ_ZH_NF_II_3_039
SSRQ_ZH_NF_II_3	SSRQ ZH NF II/3, Nr. 42	/suche/detail/SSRQ_ZH_NF_II_3_042
SSRQ_ZH_NF_II_3	UBZH	http://permalink.snl.ch/bib/chbsg000135491
SSRQ_ZH_NF_II_3	Aeppli 1979	http://permalink.snl.ch/bib/chbsg000081977
SSRQ_ZH_NF_II_3	Schmid 1963	http://permalink.snl.ch/bib/chbsg000135538
SSRQ_ZH_NF_II_3	SSRQ ZH NF II/3, Nr. 16	/suche/detail/SSRQ_ZH_NF_II_3_016
SSRQ_ZH_NF_II_3	Aeppli 1979	http://permalink.snl.ch/bib/chbsg000081977
SSRQ_ZH_NF_II_3	Schmid 2004	http://permalink.snl.ch/bib/chbsg000044058
SSRQ_ZH_NF_II_3	Schmid 1963	http://permalink.snl.ch/bib/chbsg000135538
SSRQ_ZH_NF_II_3	Sibler 1984-1990	/startseite/literaturverzeichnis
SSRQ_ZH_NF_II_3	Aeppli 1979	http://permalink.snl.ch/bib/chbsg000081977
SSRQ_ZH_NF_II_3	Schmid 1963	http://permalink.snl.ch/bib/chbsg000135538
SSRQ_ZH_NF_II_3	Kläui/Imhof 1951	http://permalink.snl.ch/bib/chbsg000139039
SSRQ_ZH_NF_II_3	Bauhofer 1943a	http://permalink.snl.ch/bib/chbsg000135551
SSRQ_ZH_NF_II_3	Guyer 1943	http://permalink.snl.ch/bib/chbsg000138616
SSRQ_ZH_NF_II_3	Dändliker 1908-1912	http://permalink.snl.ch/bib/chbsg000138510
